SG ID,SG,SD ID,SD,New,Synoynm,,
316,Palliative Care ,11267,Hospice,,,,
316,Palliative Care,11833,End of Life Medication Supplier,,,,
316,Palliative Care,11834,Palliative Care Medication supplier,,,,
316,Palliative Care,11835,IV Antibiotic Medication supplier,,,,
316,Palliative Care,11847,Bereavement Counselling,,,,
316,Palliative Care,11848,End of Life Counselling,,,,
316,Palliative Care,11853,End of Life Benefits Advice,,,,
316,Palliative Care,11854,End of Life Financial Support,,,,
316,Palliative Care,11855,End of Life Spiritual Support,,,,
316,Palliative Care,11970,Palliative Care symptom control,,,,
316,Palliative Care,11971,Palliative Care pain control,,,,
317,Renal medicine,11268,Infectious Disorder Of Kidney,,,,
317,Renal medicine,11269,Kidney Disease+D336,,,,
317,Renal medicine,11270,Nephritis ,,,,
317,Renal medicine,11271,Nephrotic Syndrome ,,,,
317,Renal medicine,11272,Pyelonephritis ,,,,
317,Renal medicine,11273,RF - Renal Failure,,,,
317,Renal medicine,11274,Uraemia ,,,,
317,Renal medicine,11275,Urinary Tract Infection,,,,
317,Renal medicine,11858,Cystitis,,,,
318,Respiratory,11276,Ambulatory Oxygen Assessment,,,,
318,Respiratory,11277,Aspiration Pneumonia,,,,
318,Respiratory,11278,Asthma,,,,
318,Respiratory,11279,Blood Gas Analysis,,,,
318,Respiratory,11280,Bronchiectasis Support ,,,,
318,Respiratory,11281,Bronchitis  ,,,,
318,Respiratory,11282,Bronchitis Support ,,,,
318,Respiratory,11283,Bronchopneumonia,,,,
318,Respiratory,11284,Central Cyanosis,,,,
318,Respiratory,11285,Chest Infection Nos ,,,,
318,Respiratory,11286,Chest Physiotherapy Assessment,,,,
318,Respiratory,11287,Community Respiratory Team,,,,
318,Respiratory,11288,Copd - Chronic Obstructive Pulmonary Disease,,,,
318,Respiratory,11289,COPD Nurse (Chronic obstructive pulmonary disease),,,,
318,Respiratory,11290,Cough,,,,
318,Respiratory,11291,Dyspnoea  ,,,,
318,Respiratory,11292,Emphysema  ,,,,
318,Respiratory,11293,Fibrosing Alveolitis Support ,,,,
318,Respiratory,11294,Haemoptysis ,,,,
318,Respiratory,11295,Home Oxygen Supply,,,,
318,Respiratory,11296,Home oxygen therapy (HOT),,,,
318,Respiratory,11297,Long-Term Oxygen Therapy,,,,
318,Respiratory,11298,Nebuliser Care Education,,,,
318,Respiratory,11299,Nebuliser Therapy,,,,
318,Respiratory,11300,O2 Replacement ,,,,
318,Respiratory,11301,Pleural Effusion ,,,,
318,Respiratory,11302,Pleurisy ,,,,
318,Respiratory,11303,Pleuritic Pain,,,,
318,Respiratory,11304,Pneumonia ,,,,
318,Respiratory,11305,Pneumothorax ,,,,
318,Respiratory,11306,Pulmonary Embolism ,,,,
318,Respiratory,11307,Pulmonary Fibrosis,,,,
318,Respiratory,11308,Pulmonary Oedema ,,,,
318,Respiratory,11309,Pulmonary Rehabilitation,,,,
318,Respiratory,11310,Pulse Oximetry,,,,
318,Respiratory,11311,Respiratory Assessment In Home ,,,,
318,Respiratory,11312,Respiratory Failure ,,,,
318,Respiratory,11313,Respiratory Nurse,,,,
318,Respiratory,11314,Respiratory Team ,,,,
318,Respiratory,11315,Sbot - Short-Burst Oxygen Therapy,,,,
318,Respiratory,11316,Sleep Deprivation,,,,
318,Respiratory,11317,Spirometry ,,,,
318,Respiratory,11318,Wheezing ,,,,
318,Respiratory,11987,Upper Respiratory Tract Infection (URTI),,,,
318,Respiratory,11988,Lower Respiratory Tract Infection (LRTI),,,,
318,Respiratory,11993,Allergy Service,,,,
318,Respiratory,11994,Multi-trigger wheeze,,,,
318,Respiratory,11995,Recent Admission with Wheeze,,,,
318,Respiratory,11997,Vocal Cord Dysfunction,,,,
318,Respiratory,11998,Allergic Rhinitis,,,,
318,Respiratory,11999,Dysfunctional Breathing,,,,
319,Rheumatology,11319,Adhesive Capsulitis Of Shoulder,,,,
319,Rheumatology,11320,Arthritis,,,,
319,Rheumatology,11321,Backache,,,,
319,Rheumatology,11322,Gout  ,,,,
319,Rheumatology,11323,Hip Pain ,,,,
319,Rheumatology,11324,Low Back Pain ,,,,
319,Rheumatology,11325,Musculo Skeletal Service,,,,
319,Rheumatology,11326,Neck Pain,,,,
319,Rheumatology,11327,Osteoarthritis  ,,,,
319,Rheumatology,11328,Osteoporosis,,,,
319,Rheumatology,11329,Pain Control ,,,,
319,Rheumatology,11330,Polymyalgia Rheumatica (Disorder),,,,
319,Rheumatology,11331,Rheumatoid Arthritis  ,,,,
319,Rheumatology,11332,Shoulder Pain ,,,,
319,Rheumatology,11333,Thoracic Back Pain,,,,
320,Mental Health-Addiction,11334,Advice Relating To Alcohol Consumption,,,,
320,Mental Health-Addiction,11335,Alcohol Withdrawal Syndrome,,,,
320,Mental Health-Addiction,11336,Child Drug Service,,,,
320,Mental Health-Addiction,11337,Combined Alcohol And Drug Rehabilitation,,,,
320,Mental Health-Addiction,11338,Drug Addiction Therapy,,,,
320,Mental Health-Addiction,11339,Drug Misuse Behaviour,,,,
320,Mental Health-Addiction,11340,Needle And Syringe Exchange,,,,
320,Mental Health-Addiction,11341,Respite  -  Service for chaotic drug and / or alcohol use,,,,
320,Mental Health-Addiction,11342,Specialist Health Visitor for Substance Misuse,,,,
320,Mental Health-Addiction,11343,Substance Abuse,,,,
320,Mental Health-Addiction,11972,Supervised consumption of methadone,,,,
320,Mental Health,11976,Compulsive gambling,,,,
321,Mental Health-Learning Difficulties,11344,Community Learning Disabilities Team,,,,
321,Mental Health-Learning Difficulties,11345,Learning Disabilities Day Care,,,,
321,Mental Health-Learning Difficulties,11346,Learning Disabilities Health Assessment,,,,
321,Mental Health-Learning Difficulties,11347,Learning Disabilities Health Facilitators,,,,
321,Mental Health-Learning Difficulties,11348,Learning Disabilities Health Facilitators,,,,
321,Mental Health-Learning Difficulties,11349,Learning Disabilities Outreach Service,,,,
321,Mental Health-Learning Difficulties,11350,Learning Disabilities Support Service,,,,
322,Mental Health-Psychiatry,11351,Alzheimer's  Disease,,,,
322,Mental Health-Psychiatry,11352,Amnesia,,,,
322,Mental Health-Psychiatry,11353,Anorexia Nervosa,,,,
322,Mental Health-Psychiatry,11354,Anxiety,,,,
322,Mental Health-Psychiatry,11355,Auditory Hallucinations,,,,
322,Mental Health-Psychiatry,11356,Bipolar Disorder,,,,
322,Mental Health-Psychiatry,11357,Bulimia Nervosa,,,,
322,Mental Health-Psychiatry,11358,Cbt (Cognitive Behaviour Therapy) Care Management,,,,
322,Mental Health-Psychiatry,11359,Clinical Psychologist,,,,
322,Mental Health-Psychiatry,11360,Community Mental Health Nurse,,,,
322,Mental Health-Psychiatry,11361,Crisis,,,,
322,Mental Health-Psychiatry,11362,Crisis Home Care and Beds,,,,
322,Mental Health-Psychiatry,11363,Crisis Response,,,,
322,Mental Health-Psychiatry,11364,Delusional Disorder,,,,
322,Mental Health-Psychiatry,11365,Dementia,,,,
322,Mental Health-Psychiatry,11366,Depressive Disorder,,,,
322,Mental Health-Psychiatry,11367,Domestic Violence ,,,,
322,Mental Health-Psychiatry,11368,Drug-Induced Psychosis ,,,,
322,Mental Health-Psychiatry,11369,Frequent health user,,,,
322,Mental Health-Psychiatry,11370,Inability To Cope,,,,
322,Mental Health-Psychiatry,11371,Mental Disorder,,,,
322,Mental Health-Psychiatry,11372,Mental Health Beds Adult ,,,,
322,Mental Health-Psychiatry,11373,Mental Health Nurse,,,,
322,Mental Health-Psychiatry,11374,Mental Health Team ,,,,
322,Mental Health-Psychiatry,11375,Mental Illness,,,,
322,Mental Health-Psychiatry,11376,Paranoid Schizophrenia ,,,,
322,Mental Health-Psychiatry,11377,Personal Wellbeing Practitioners,,,,
322,Mental Health-Psychiatry,11378,Personality Disorder,,,,
322,Mental Health-Psychiatry,11379,Posttraumatic Stress Disorder,,,,
322,Mental Health-Psychiatry,11380,Primary Care Mental Health Workers,,,,
322,Mental Health-Psychiatry,11381,Psychotic Disorder,,,,
322,Mental Health-Psychiatry,11382,Samaritans Advisory Service,,,,
322,Mental Health-Psychiatry,11383,Schizophrenia ,,,,
322,Mental Health-Psychiatry,11384,Section 5,,,,
322,Mental Health-Psychiatry,11385,Self-Harm,,,,
322,Mental Health-Psychiatry,11386,Social support counsellors,,,,
322,Mental Health-Psychiatry,11387,Suicidal ,,,,
322,Mental Health-Psychiatry,11388,Voluntary Admission ,,,,
322,Mental Health-Psychiatry,11818,Health-based place of safety - Section 136 access,,,,
322,Mental Health-Psychiatry,11836,Refer to Child and Adolescent Mental Health Service,,,,
322,Mental Health-Psychiatry,11837,Refer to Child and Adolescence Crisis Service,,,,
322,Mental Health-Psychiatry,11838,Mental health carers' support,,,,
322,Mental Health-Psychiatry,11839,Mental Health Refuge,,,,
322,Mental Health-Psychiatry,11840,Mental Health Drop in Service,,,,
322,Mental Health-Psychiatry,11852,Preventative Domestic Violence,,,,
322,Mental Health-Psychiatry ,11942,Presenile dementia,,,,
322,Mental Health-Psychiatry ,11943,Dialiectical Behvaiour therapy,,,,
322,Mental Health-Psychiatry ,11944,Crisis House,,,,
322,Mental Health-Psychiatry ,11949,IAPT,,,,
322,Mental Health-Psychiatry ,11985,Memory Loss,,,,
322,Mental Health-Psychiatry,11989,Liaison Psychiatry,,,,
322,Mental Health-Psychiatry,11990,Mental health helpline,,,,
322,Mental Health-Psychiatry,12001,Psychotherapy,,,,
322,Mental Health-Psychiatry,12007,Mental Health - Cluster 2,,,,
322,Mental Health-Psychiatry,12008,Mental Health - Cluster 3,,,,
322,Mental Health-Psychiatry,12009,Mental Health - Cluster 4,,,,
322,Mental Health-Psychiatry,12010,Mental Health - Cluster 5,,,,
322,Mental Health-Psychiatry,12011,Mental Health - Cluster 6,,,,
322,Mental Health-Psychiatry,12012,Mental Health - Cluster 7,,,,
322,Mental Health-Psychiatry,12013,Mental Health - Cluster 8,,,,
322,Mental Health-Psychiatry,12014,Mental Health - Cluster 9,,,,
322,Mental Health-Psychiatry,12015,Mental Health - Cluster 10,,,,
322,Mental Health-Psychiatry,12016,Mental Health - Cluster 11,,,,
322,Mental Health-Psychiatry,12017,Mental Health - Cluster 12,,,,
322,Mental Health-Psychiatry,12018,Mental Health - Cluster 13,,,,
322,Mental Health-Psychiatry,12019,Mental Health - Cluster 14,,,,
322,Mental Health-Psychiatry,12020,Mental Health - Cluster 15,,,,
322,Mental Health-Psychiatry,12021,Mental Health - Cluster 16,,,,
322,Mental Health-Psychiatry,12022,Mental Health - Cluster 17,,,,
322,Mental Health-Psychiatry,12023,Mental Health - Cluster 18,,,,
322,Mental Health-Psychiatry,12024,Mental Health - Cluster 19,,,,
322,Mental Health-Psychiatry,12025,Mental Health - Cluster 20,,,,
322,Mental Health-Psychiatry,12026,Mental Health - Cluster 21,,,,
322,Mental Health - psychiatry,12029,Old Age Psychiatry,NEW,,,
323,Nursing-Primary Care,11389,Administration Of Medication,,,,
323,Nursing-Primary Care,11390,Bowel Care Assessment,,,,
323,Nursing-Primary Care,11391,Cannulation,,,,
323,Nursing-Primary Care,11392,Community Beds ,,,,
323,Nursing-Primary Care,11393,Community Hospital,,,,
323,Nursing-Primary Care,11394,Community Matron,,,,
323,Nursing-Primary Care,11395,Community Nurse,,,,
323,Nursing-Primary Care,11396,District Nurse ,,,,
323,Nursing-Primary Care,11397,Dressing Of Wound,,,,
323,Nursing-Primary Care,11398,Evening and Night Nursing Service,,,,
323,Nursing-Primary Care,11399,Evening Nurse Service ,,,,
323,Nursing-Primary Care,11400,Health visiting service ,,,,
323,Nursing-Primary Care,11401,Home Based Care ,,,,
323,Nursing-Primary Care,11402,Home Treatment ,,,,
323,Nursing-Primary Care,11403,Infusion Care,,,,
323,Nursing-Primary Care,11404,Instilling Eye Drops,,,,
323,Nursing-Primary Care,11405,Joint Community Team – JCT,,,,
323,Nursing-Primary Care,11406,Night Nursing Service ,,,,
323,Nursing-Primary Care,11407,Nip In Beds ,,,,
323,Nursing-Primary Care,11408,Practice Nurse,,,,
323,Nursing-Primary Care,11409,Primary Care Nurse Specialist,,,,
323,Nursing-Primary Care,11410,Public Health Nurse,,,,
323,Nursing-Primary Care,11411,Registered Nurse,,,,
323,Nursing-Primary Care,11412,School Nurse,,,,
323,Nursing-Primary Care,11413,School nursing service,,,,
323,Nursing-Primary Care,11414,Step Up Beds ,,,,
324,Nursing-Specialist,11415,ANP (Advanced Nurse Practitioner),,,,
324,Nursing-Specialist,11416,Consultant Nurse Specialist,,,,
324,Nursing-Specialist,11417,Continence Nurse,,,,
